task,regime,split,difficulty,stress,tail,contact,embodiment,shortcut,horizon,scarcity,latency,alias,hazard
tool_use_sequence,actuator_latency_shift,shortcut_shift,0.082,0.56,0.451472,0.510401,0.320947,0.445744,0.454175,0.413804,0.562304,0.35784,0.5624
tool_use_sequence,actuator_latency_shift,recovery_scarcity,0.082,0.62,0.518056,0.577687,0.360461,0.35816,0.520851,0.556618,0.631856,0.296688,0.5852
tool_use_sequence,actuator_latency_shift,cross_robot_morphology,0.082,0.66,0.492072,0.553894,0.495936,0.365776,0.497471,0.457269,0.751088,0.306096,0.6004
tool_use_sequence,actuator_latency_shift,heldout_exception_composition,0.082,0.74,0.566776,0.629878,0.433843,0.419088,0.535139,0.500734,0.77096,0.371952,0.6308
tool_use_sequence,actuator_latency_shift,combined_exception_stress,0.082,0.86,0.615496,0.682069,0.467712,0.438128,0.584063,0.544199,0.830576,0.390768,0.6764
tool_use_sequence,mixed_exception_stress,nominal_scaling,0.082,0.12,0.487168,0.394269,0.302285,0.549136,0.3825,0.410995,0.412624,0.424032,0.468
tool_use_sequence,mixed_exception_stress,contact_tail_shift,0.082,0.56,0.895488,0.695412,0.347443,0.60424,0.597445,0.568297,0.501184,0.52752,0.666
tool_use_sequence,mixed_exception_stress,embodiment_shift,0.082,0.6,0.691328,0.555724,0.553882,0.640976,0.620576,0.593134,0.527752,0.565152,0.684
tool_use_sequence,mixed_exception_stress,shortcut_shift,0.082,0.56,0.684992,0.549662,0.366797,0.907312,0.591804,0.551739,0.501184,0.71568,0.666
tool_use_sequence,mixed_exception_stress,recovery_scarcity,0.082,0.62,0.786016,0.622124,0.411955,0.69608,0.678684,0.742157,0.563176,0.593376,0.693
tool_use_sequence,mixed_exception_stress,cross_robot_morphology,0.082,0.66,0.746592,0.596501,0.566784,0.714448,0.64822,0.609692,0.669448,0.612192,0.711
tool_use_sequence,mixed_exception_stress,heldout_exception_composition,0.082,0.74,0.859936,0.67833,0.495821,0.843024,0.697302,0.667645,0.68716,0.743904,0.747
tool_use_sequence,mixed_exception_stress,combined_exception_stress,0.082,0.86,0.933856,0.734536,0.534528,0.888944,0.761052,0.725599,0.740296,0.781536,0.801
shelf_retrieval,rare_contact_tail,nominal_scaling,0.074,0.12,0.509312,0.350309,0.125952,0.26336,0.159466,0.225736,0.130832,0.111056,0.416
shelf_retrieval,rare_contact_tail,contact_tail_shift,0.074,0.56,0.936192,0.617875,0.144768,0.2768,0.249077,0.312133,0.158912,0.13816,0.592
shelf_retrieval,rare_contact_tail,embodiment_shift,0.074,0.6,0.722752,0.493762,0.230784,0.28576,0.25872,0.325774,0.167336,0.148016,0.608
shelf_retrieval,rare_contact_tail,shortcut_shift,0.074,0.56,0.716128,0.488376,0.152832,0.35072,0.246725,0.303038,0.158912,0.18744,0.592
shelf_retrieval,rare_contact_tail,recovery_scarcity,0.074,0.62,0.821744,0.552758,0.171648,0.2992,0.282946,0.407624,0.178568,0.155408,0.616
shelf_retrieval,rare_contact_tail,cross_robot_morphology,0.074,0.66,0.780528,0.529992,0.23616,0.30368,0.270245,0.334869,0.212264,0.160336,0.632
shelf_retrieval,rare_contact_tail,heldout_exception_composition,0.074,0.74,0.899024,0.602698,0.206592,0.33504,0.290707,0.366699,0.21788,0.194832,0.664
shelf_retrieval,rare_contact_tail,combined_exception_stress,0.074,0.86,0.976304,0.652637,0.22272,0.34624,0.317285,0.39853,0.234728,0.204688,0.712
shelf_retrieval,occluded_precondition,nominal_scaling,0.074,0.12,0.254656,0.186831,0.125952,0.357824,0.197434,0.186816,0.15096,0.181728,0.3016
shelf_retrieval,occluded_precondition,contact_tail_shift,0.074,0.56,0.468096,0.329533,0.144768,0.38336,0.308381,0.258317,0.18336,0.22608,0.4292
shelf_retrieval,occluded_precondition,embodiment_shift,0.074,0.6,0.361376,0.26334,0.230784,0.400384,0.32032,0.269606,0.19308,0.242208,0.4408
shelf_retrieval,occluded_precondition,shortcut_shift,0.074,0.56,0.358064,0.260467,0.152832,0.523808,0.305469,0.25079,0.18336,0.30672,0.4292
shelf_retrieval,occluded_precondition,recovery_scarcity,0.074,0.62,0.410872,0.294804,0.171648,0.42592,0.350314,0.337344,0.20604,0.254304,0.4466
shelf_retrieval,occluded_precondition,cross_robot_morphology,0.074,0.66,0.390264,0.282662,0.23616,0.434432,0.334589,0.277133,0.24492,0.262368,0.4582
shelf_retrieval,occluded_precondition,heldout_exception_composition,0.074,0.74,0.449512,0.321439,0.206592,0.494016,0.359923,0.303475,0.2514,0.318816,0.4814
shelf_retrieval,occluded_precondition,combined_exception_stress,0.074,0.86,0.488152,0.348073,0.22272,0.515296,0.392829,0.329818,0.27084,0.334944,0.5162
shelf_retrieval,embodiment_mismatch,nominal_scaling,0.074,0.12,0.298944,0.241324,0.386253,0.357824,0.159466,0.241304,0.181152,0.222112,0.3744
shelf_retrieval,embodiment_mismatch,contact_tail_shift,0.074,0.56,0.549504,0.425647,0.443955,0.38336,0.249077,0.333659,0.220032,0.27632,0.5328
shelf_retrieval,embodiment_mismatch,embodiment_shift,0.074,0.6,0.424224,0.340147,0.707738,0.400384,0.25872,0.348242,0.231696,0.296032,0.5472
shelf_retrieval,embodiment_mismatch,shortcut_shift,0.074,0.56,0.420336,0.336437,0.468685,0.523808,0.246725,0.323938,0.220032,0.37488,0.5328
shelf_retrieval,embodiment_mismatch,recovery_scarcity,0.074,0.62,0.482328,0.380789,0.526387,0.42592,0.282946,0.435736,0.247248,0.310816,0.5544
shelf_retrieval,embodiment_mismatch,cross_robot_morphology,0.074,0.66,0.458136,0.365106,0.724224,0.434432,0.270245,0.357963,0.293904,0.320672,0.5688
shelf_retrieval,embodiment_mismatch,heldout_exception_composition,0.074,0.74,0.527688,0.415192,0.633549,0.494016,0.290707,0.391989,0.30168,0.389664,0.5976
shelf_retrieval,embodiment_mismatch,combined_exception_stress,0.074,0.86,0.573048,0.449594,0.683008,0.515296,0.317285,0.426014,0.325008,0.409376,0.6408
shelf_retrieval,long_horizon_compounding,nominal_scaling,0.074,0.12,0.343232,0.210185,0.176333,0.336832,0.349306,0.326928,0.241536,0.20192,0.3536
shelf_retrieval,long_horizon_compounding,contact_tail_shift,0.074,0.56,0.630912,0.370725,0.202675,0.35968,0.545597,0.452054,0.293376,0.2512,0.5032
shelf_retrieval,long_horizon_compounding,embodiment_shift,0.074,0.6,0.487072,0.296257,0.323098,0.374912,0.56672,0.471811,0.308928,0.26912,0.5168
shelf_retrieval,long_horizon_compounding,shortcut_shift,0.074,0.56,0.482608,0.293026,0.213965,0.485344,0.540445,0.438883,0.293376,0.3408,0.5032
shelf_retrieval,long_horizon_compounding,recovery_scarcity,0.074,0.62,0.553784,0.331655,0.240307,0.39776,0.619786,0.590352,0.329664,0.28256,0.5236
shelf_retrieval,long_horizon_compounding,cross_robot_morphology,0.074,0.66,0.526008,0.317995,0.330624,0.405376,0.591965,0.484982,0.391872,0.29152,0.5372
shelf_retrieval,long_horizon_compounding,heldout_exception_composition,0.074,0.74,0.605864,0.361619,0.289229,0.458688,0.636787,0.531082,0.40224,0.35424,0.5644
shelf_retrieval,long_horizon_compounding,combined_exception_stress,0.074,0.86,0.657944,0.391582,0.311808,0.477728,0.695005,0.577181,0.433344,0.37216,0.6052
shelf_retrieval,spurious_visual_shortcut,nominal_scaling,0.074,0.12,0.287872,0.132339,0.151142,0.651712,0.167059,0.179032,0.140896,0.35336,0.2912
shelf_retrieval,spurious_visual_shortcut,contact_tail_shift,0.074,0.56,0.529152,0.23342,0.173722,0.71488,0.260938,0.247554,0.171136,0.4396,0.4144
shelf_retrieval,spurious_visual_shortcut,embodiment_shift,0.074,0.6,0.408512,0.186532,0.276941,0.756992,0.27104,0.258373,0.180208,0.47096,0.4256
shelf_retrieval,spurious_visual_shortcut,shortcut_shift,0.074,0.56,0.404768,0.184498,0.183398,1.062304,0.258474,0.240341,0.171136,0.5964,0.4144
shelf_retrieval,spurious_visual_shortcut,recovery_scarcity,0.074,0.62,0.464464,0.20882,0.205978,0.82016,0.296419,0.323288,0.192304,0.49448,0.4312
shelf_retrieval,spurious_visual_shortcut,cross_robot_morphology,0.074,0.66,0.441168,0.200219,0.283392,0.841216,0.283114,0.265586,0.228592,0.51016,0.4424
shelf_retrieval,spurious_visual_shortcut,heldout_exception_composition,0.074,0.74,0.508144,0.227686,0.24791,0.988608,0.30455,0.29083,0.23464,0.61992,0.4648
shelf_retrieval,spurious_visual_shortcut,combined_exception_stress,0.074,0.86,0.551824,0.246552,0.267264,1.041248,0.332394,0.316075,0.252784,0.65128,0.4984
shelf_retrieval,recovery_scarce_failure,nominal_scaling,0.074,0.12,0.398592,0.264678,0.20992,0.36832,0.280963,0.365848,0.211344,0.232208,0.4056
shelf_retrieval,recovery_scarce_failure,contact_tail_shift,0.074,0.56,0.732672,0.466839,0.24128,0.3952,0.43885,0.50587,0.256704,0.28888,0.5772
shelf_retrieval,recovery_scarce_failure,embodiment_shift,0.074,0.6,0.565632,0.373064,0.38464,0.41312,0.45584,0.527979,0.270312,0.309488,0.5928
shelf_retrieval,recovery_scarce_failure,shortcut_shift,0.074,0.56,0.560448,0.368995,0.25472,0.54304,0.434706,0.491131,0.256704,0.39192,0.5772
shelf_retrieval,recovery_scarce_failure,recovery_scarcity,0.074,0.62,0.643104,0.41764,0.28608,0.44,0.498523,0.660632,0.288456,0.324944,0.6006
shelf_retrieval,recovery_scarce_failure,cross_robot_morphology,0.074,0.66,0.610848,0.400438,0.3936,0.44896,0.476146,0.542718,0.342888,0.335248,0.6162
shelf_retrieval,recovery_scarce_failure,heldout_exception_composition,0.074,0.74,0.703584,0.455372,0.34432,0.51168,0.512198,0.594306,0.35196,0.407376,0.6474
shelf_retrieval,recovery_scarce_failure,combined_exception_stress,0.074,0.86,0.764064,0.493103,0.3712,0.53408,0.559026,0.645893,0.379176,0.427984,0.6942
shelf_retrieval,distribution_mixture_aliasing,nominal_scaling,0.074,0.12,0.365376,0.210185,0.226714,0.567744,0.227808,0.27244,0.20128,0.474512,0.364
shelf_retrieval,distribution_mixture_aliasing,contact_tail_shift,0.074,0.56,0.671616,0.370725,0.260582,0.62016,0.355824,0.376712,0.24448,0.59032,0.518
shelf_retrieval,distribution_mixture_aliasing,embodiment_shift,0.074,0.6,0.518496,0.296257,0.415411,0.655104,0.3696,0.393176,0.25744,0.632432,0.532
shelf_retrieval,distribution_mixture_aliasing,shortcut_shift,0.074,0.56,0.513744,0.293026,0.275098,0.908448,0.352464,0.365736,0.24448,0.80088,0.518
shelf_retrieval,distribution_mixture_aliasing,recovery_scarcity,0.074,0.62,0.589512,0.331655,0.308966,0.70752,0.404208,0.49196,0.27472,0.664016,0.539
shelf_retrieval,distribution_mixture_aliasing,cross_robot_morphology,0.074,0.66,0.559944,0.317995,0.425088,0.724992,0.386064,0.404152,0.32656,0.685072,0.553
shelf_retrieval,distribution_mixture_aliasing,heldout_exception_composition,0.074,0.74,0.644952,0.361619,0.371866,0.847296,0.415296,0.442568,0.3352,0.832464,0.581
shelf_retrieval,distribution_mixture_aliasing,combined_exception_stress,0.074,0.86,0.700392,0.391582,0.400896,0.890976,0.453264,0.480984,0.36112,0.874576,0.623
shelf_retrieval,actuator_latency_shift,nominal_scaling,0.074,0.12,0.321088,0.303601,0.293888,0.336832,0.250589,0.256872,0.462944,0.212016,0.3952
shelf_retrieval,actuator_latency_shift,contact_tail_shift,0.074,0.56,0.590208,0.535492,0.337792,0.35968,0.391406,0.355186,0.562304,0.26376,0.5624
shelf_retrieval,actuator_latency_shift,embodiment_shift,0.074,0.6,0.455648,0.427927,0.538496,0.374912,0.40656,0.370709,0.592112,0.282576,0.5776
shelf_retrieval,actuator_latency_shift,shortcut_shift,0.074,0.56,0.451472,0.423259,0.356608,0.485344,0.38771,0.344837,0.562304,0.35784,0.5624
shelf_retrieval,actuator_latency_shift,recovery_scarcity,0.074,0.62,0.518056,0.479057,0.400512,0.39776,0.444629,0.463848,0.631856,0.296688,0.5852
shelf_retrieval,actuator_latency_shift,cross_robot_morphology,0.074,0.66,0.492072,0.459326,0.55104,0.405376,0.42467,0.381058,0.751088,0.306096,0.6004
shelf_retrieval,actuator_latency_shift,heldout_exception_composition,0.074,0.74,0.566776,0.522338,0.482048,0.458688,0.456826,0.417278,0.77096,0.371952,0.6308
shelf_retrieval,actuator_latency_shift,combined_exception_stress,0.074,0.86,0.615496,0.565619,0.51968,0.477728,0.49859,0.453499,0.830576,0.390768,0.6764
shelf_retrieval,mixed_exception_stress,nominal_scaling,0.074,0.12,0.487168,0.326955,0.335872,0.588736,0.326525,0.342496,0.412624,0.424032,0.468
shelf_retrieval,mixed_exception_stress,contact_tail_shift,0.074,0.56,0.895488,0.576684,0.386048,0.64384,0.510014,0.473581,0.501184,0.52752,0.666
shelf_retrieval,mixed_exception_stress,embodiment_shift,0.074,0.6,0.691328,0.460844,0.615424,0.680576,0.52976,0.494278,0.527752,0.565152,0.684
shelf_retrieval,mixed_exception_stress,shortcut_shift,0.074,0.56,0.684992,0.455818,0.407552,0.946912,0.505198,0.459782,0.501184,0.71568,0.666
shelf_retrieval,mixed_exception_stress,recovery_scarcity,0.074,0.62,0.786016,0.515908,0.457728,0.73568,0.579365,0.618464,0.563176,0.593376,0.693
shelf_retrieval,mixed_exception_stress,cross_robot_morphology,0.074,0.66,0.746592,0.494659,0.62976,0.754048,0.553358,0.508077,0.669448,0.612192,0.711
shelf_retrieval,mixed_exception_stress,heldout_exception_composition,0.074,0.74,0.859936,0.562518,0.550912,0.882624,0.595258,0.556371,0.68716,0.743904,0.747
shelf_retrieval,mixed_exception_stress,combined_exception_stress,0.074,0.86,0.933856,0.609128,0.59392,0.928544,0.649678,0.604666,0.740296,0.781536,0.801
articulated_object_opening,rare_contact_tail,nominal_scaling,0.086,0.12,0.509312,0.463644,0.122803,0.23456,0.164022,0.264434,0.130832,0.111056,0.416
articulated_object_opening,rare_contact_tail,contact_tail_shift,0.086,0.56,0.936192,0.817776,0.141149,0.248,0.256193,0.365641,0.158912,0.13816,0.592
articulated_object_opening,rare_contact_tail,embodiment_shift,0.086,0.6,0.722752,0.653508,0.225014,0.25696,0.266112,0.381621,0.167336,0.148016,0.608
articulated_object_opening,rare_contact_tail,shortcut_shift,0.086,0.56,0.716128,0.64638,0.149011,0.32192,0.253774,0.354988,0.158912,0.18744,0.592
articulated_object_opening,rare_contact_tail,recovery_scarcity,0.086,0.62,0.821744,0.731592,0.167357,0.2704,0.29103,0.477502,0.178568,0.155408,0.616
articulated_object_opening,rare_contact_tail,cross_robot_morphology,0.086,0.66,0.780528,0.70146,0.230256,0.27488,0.277966,0.392275,0.212264,0.160336,0.632
articulated_object_opening,rare_contact_tail,heldout_exception_composition,0.086,0.74,0.899024,0.797688,0.201427,0.30624,0.299013,0.429562,0.21788,0.194832,0.664
articulated_object_opening,rare_contact_tail,combined_exception_stress,0.086,0.86,0.976304,0.863784,0.217152,0.31744,0.32635,0.466849,0.234728,0.204688,0.712
articulated_object_opening,occluded_precondition,nominal_scaling,0.086,0.12,0.254656,0.247277,0.122803,0.329024,0.203075,0.218842,0.15096,0.181728,0.3016
articulated_object_opening,occluded_precondition,contact_tail_shift,0.086,0.56,0.468096,0.436147,0.141149,0.35456,0.317192,0.3026,0.18336,0.22608,0.4292
articulated_object_opening,occluded_precondition,embodiment_shift,0.086,0.6,0.361376,0.348538,0.225014,0.371584,0.329472,0.315825,0.19308,0.242208,0.4408
articulated_object_opening,occluded_precondition,shortcut_shift,0.086,0.56,0.358064,0.344736,0.149011,0.495008,0.314196,0.293783,0.18336,0.30672,0.4292
articulated_object_opening,occluded_precondition,recovery_scarcity,0.086,0.62,0.410872,0.390182,0.167357,0.39712,0.360323,0.395174,0.20604,0.254304,0.4466
articulated_object_opening,occluded_precondition,cross_robot_morphology,0.086,0.66,0.390264,0.374112,0.230256,0.405632,0.344148,0.324641,0.24492,0.262368,0.4582
articulated_object_opening,occluded_precondition,heldout_exception_composition,0.086,0.74,0.449512,0.425434,0.201427,0.465216,0.370207,0.3555,0.2514,0.318816,0.4814
articulated_object_opening,occluded_precondition,combined_exception_stress,0.086,0.86,0.488152,0.460685,0.217152,0.486496,0.404052,0.386358,0.27084,0.334944,0.5162
articulated_object_opening,embodiment_mismatch,nominal_scaling,0.086,0.12,0.298944,0.319399,0.376596,0.329024,0.164022,0.28267,0.181152,0.222112,0.3744
articulated_object_opening,embodiment_mismatch,contact_tail_shift,0.086,0.56,0.549504,0.563357,0.432856,0.35456,0.256193,0.390858,0.220032,0.27632,0.5328
articulated_object_opening,embodiment_mismatch,embodiment_shift,0.086,0.6,0.424224,0.450194,0.690044,0.371584,0.266112,0.40794,0.231696,0.296032,0.5472
articulated_object_opening,embodiment_mismatch,shortcut_shift,0.086,0.56,0.420336,0.445284,0.456968,0.495008,0.253774,0.37947,0.220032,0.37488,0.5328
articulated_object_opening,embodiment_mismatch,recovery_scarcity,0.086,0.62,0.482328,0.503986,0.513228,0.39712,0.29103,0.510434,0.247248,0.310816,0.5544
articulated_object_opening,embodiment_mismatch,cross_robot_morphology,0.086,0.66,0.458136,0.483228,0.706118,0.405632,0.277966,0.419328,0.293904,0.320672,0.5688
articulated_object_opening,embodiment_mismatch,heldout_exception_composition,0.086,0.74,0.527688,0.549518,0.61771,0.465216,0.299013,0.459187,0.30168,0.389664,0.5976
articulated_object_opening,embodiment_mismatch,combined_exception_stress,0.086,0.86,0.573048,0.595051,0.665933,0.486496,0.32635,0.499045,0.325008,0.409376,0.6408
articulated_object_opening,long_horizon_compounding,nominal_scaling,0.086,0.12,0.343232,0.278186,0.171924,0.308032,0.359286,0.382973,0.241536,0.20192,0.3536
articulated_object_opening,long_horizon_compounding,contact_tail_shift,0.086,0.56,0.630912,0.490666,0.197608,0.33088,0.561185,0.529549,0.293376,0.2512,0.5032
articulated_object_opening,long_horizon_compounding,embodiment_shift,0.086,0.6,0.487072,0.392105,0.31502,0.346112,0.582912,0.552693,0.308928,0.26912,0.5168
articulated_object_opening,long_horizon_compounding,shortcut_shift,0.086,0.56,0.482608,0.387828,0.208616,0.456544,0.555886,0.51412,0.293376,0.3408,0.5032
articulated_object_opening,long_horizon_compounding,recovery_scarcity,0.086,0.62,0.553784,0.438955,0.2343,0.36896,0.637494,0.691555,0.329664,0.28256,0.5236
articulated_object_opening,long_horizon_compounding,cross_robot_morphology,0.086,0.66,0.526008,0.420876,0.322358,0.376576,0.608878,0.568122,0.391872,0.29152,0.5372
articulated_object_opening,long_horizon_compounding,heldout_exception_composition,0.086,0.74,0.605864,0.478613,0.281998,0.429888,0.654981,0.622124,0.40224,0.35424,0.5644
articulated_object_opening,long_horizon_compounding,combined_exception_stress,0.086,0.86,0.657944,0.51827,0.304013,0.448928,0.714862,0.676126,0.433344,0.37216,0.6052
articulated_object_opening,spurious_visual_shortcut,nominal_scaling,0.086,0.12,0.287872,0.175154,0.147364,0.622912,0.171832,0.209723,0.140896,0.35336,0.2912
articulated_object_opening,spurious_visual_shortcut,contact_tail_shift,0.086,0.56,0.529152,0.308938,0.169379,0.68608,0.268393,0.289991,0.171136,0.4396,0.4144
articulated_object_opening,spurious_visual_shortcut,embodiment_shift,0.086,0.6,0.408512,0.246881,0.270017,0.728192,0.278784,0.302665,0.180208,0.47096,0.4256
articulated_object_opening,spurious_visual_shortcut,shortcut_shift,0.086,0.56,0.404768,0.244188,0.178813,1.033504,0.265859,0.281542,0.171136,0.5964,0.4144
articulated_object_opening,spurious_visual_shortcut,recovery_scarcity,0.086,0.62,0.464464,0.276379,0.200828,0.79136,0.304888,0.378709,0.192304,0.49448,0.4312
articulated_object_opening,spurious_visual_shortcut,cross_robot_morphology,0.086,0.66,0.441168,0.264996,0.276307,0.812416,0.291203,0.311115,0.228592,0.51016,0.4424
articulated_object_opening,spurious_visual_shortcut,heldout_exception_composition,0.086,0.74,0.508144,0.301349,0.241713,0.959808,0.313252,0.340687,0.23464,0.61992,0.4648
articulated_object_opening,spurious_visual_shortcut,combined_exception_stress,0.086,0.86,0.551824,0.326318,0.260582,1.012448,0.341891,0.37026,0.252784,0.65128,0.4984
articulated_object_opening,recovery_scarce_failure,nominal_scaling,0.086,0.12,0.398592,0.350309,0.204672,0.33952,0.288991,0.428565,0.211344,0.232208,0.4056
articulated_object_opening,recovery_scarce_failure,contact_tail_shift,0.086,0.56,0.732672,0.617875,0.235248,0.3664,0.451388,0.592591,0.256704,0.28888,0.5772
articulated_object_opening,recovery_scarce_failure,embodiment_shift,0.086,0.6,0.565632,0.493762,0.375024,0.38432,0.468864,0.61849,0.270312,0.309488,0.5928
articulated_object_opening,recovery_scarce_failure,shortcut_shift,0.086,0.56,0.560448,0.488376,0.248352,0.51424,0.447126,0.575325,0.256704,0.39192,0.5772
articulated_object_opening,recovery_scarce_failure,recovery_scarcity,0.086,0.62,0.643104,0.552758,0.278928,0.4112,0.512767,0.773883,0.288456,0.324944,0.6006
articulated_object_opening,recovery_scarce_failure,cross_robot_morphology,0.086,0.66,0.610848,0.529992,0.38376,0.42016,0.48975,0.635756,0.342888,0.335248,0.6162
articulated_object_opening,recovery_scarce_failure,heldout_exception_composition,0.086,0.74,0.703584,0.602698,0.335712,0.48288,0.526833,0.696187,0.35196,0.407376,0.6474
articulated_object_opening,recovery_scarce_failure,combined_exception_stress,0.086,0.86,0.764064,0.652637,0.36192,0.50528,0.574998,0.756617,0.379176,0.427984,0.6942
articulated_object_opening,distribution_mixture_aliasing,nominal_scaling,0.086,0.12,0.365376,0.278186,0.221046,0.538944,0.234317,0.319144,0.20128,0.474512,0.364
articulated_object_opening,distribution_mixture_aliasing,contact_tail_shift,0.086,0.56,0.671616,0.490666,0.254068,0.59136,0.36599,0.441291,0.24448,0.59032,0.518
articulated_object_opening,distribution_mixture_aliasing,embodiment_shift,0.086,0.6,0.518496,0.392105,0.405026,0.626304,0.38016,0.460578,0.25744,0.632432,0.532
articulated_object_opening,distribution_mixture_aliasing,shortcut_shift,0.086,0.56,0.513744,0.387828,0.26822,0.879648,0.362534,0.428434,0.24448,0.80088,0.518
articulated_object_opening,distribution_mixture_aliasing,recovery_scarcity,0.086,0.62,0.589512,0.438955,0.301242,0.67872,0.415757,0.576296,0.27472,0.664016,0.539
articulated_object_opening,distribution_mixture_aliasing,cross_robot_morphology,0.086,0.66,0.559944,0.420876,0.414461,0.696192,0.397094,0.473435,0.32656,0.685072,0.553
articulated_object_opening,distribution_mixture_aliasing,heldout_exception_composition,0.086,0.74,0.644952,0.478613,0.362569,0.818496,0.427162,0.518437,0.3352,0.832464,0.581
articulated_object_opening,distribution_mixture_aliasing,combined_exception_stress,0.086,0.86,0.700392,0.51827,0.390874,0.862176,0.466214,0.563438,0.36112,0.874576,0.623
articulated_object_opening,actuator_latency_shift,nominal_scaling,0.086,0.12,0.321088,0.401825,0.286541,0.308032,0.257748,0.300907,0.462944,0.212016,0.3952
articulated_object_opening,actuator_latency_shift,contact_tail_shift,0.086,0.56,0.590208,0.708739,0.329347,0.33088,0.402589,0.416075,0.562304,0.26376,0.5624
articulated_object_opening,actuator_latency_shift,embodiment_shift,0.086,0.6,0.455648,0.566374,0.525034,0.346112,0.418176,0.434259,0.592112,0.282576,0.5776
articulated_object_opening,actuator_latency_shift,shortcut_shift,0.086,0.56,0.451472,0.560196,0.347693,0.456544,0.398788,0.403952,0.562304,0.35784,0.5624
articulated_object_opening,actuator_latency_shift,recovery_scarcity,0.086,0.62,0.518056,0.634046,0.390499,0.36896,0.457332,0.543365,0.631856,0.296688,0.5852
articulated_object_opening,actuator_latency_shift,cross_robot_morphology,0.086,0.66,0.492072,0.607932,0.537264,0.376576,0.436804,0.446382,0.751088,0.306096,0.6004
articulated_object_opening,actuator_latency_shift,heldout_exception_composition,0.086,0.74,0.566776,0.69133,0.469997,0.429888,0.469878,0.488812,0.77096,0.371952,0.6308
articulated_object_opening,actuator_latency_shift,combined_exception_stress,0.086,0.86,0.615496,0.748613,0.506688,0.448928,0.512836,0.531242,0.830576,0.390768,0.6764
articulated_object_opening,mixed_exception_stress,nominal_scaling,0.086,0.12,0.487168,0.432734,0.327475,0.559936,0.335854,0.40121,0.412624,0.424032,0.468
articulated_object_opening,mixed_exception_stress,contact_tail_shift,0.086,0.56,0.895488,0.763258,0.376397,0.61504,0.524586,0.554766,0.501184,0.52752,0.666
articulated_object_opening,mixed_exception_stress,embodiment_shift,0.086,0.6,0.691328,0.609941,0.600038,0.651776,0.544896,0.579012,0.527752,0.565152,0.684
articulated_object_opening,mixed_exception_stress,shortcut_shift,0.086,0.56,0.684992,0.603288,0.397363,0.918112,0.519633,0.538602,0.501184,0.71568,0.666
articulated_object_opening,mixed_exception_stress,recovery_scarcity,0.086,0.62,0.786016,0.682819,0.446285,0.70688,0.595918,0.724486,0.563176,0.593376,0.693
articulated_object_opening,mixed_exception_stress,cross_robot_morphology,0.086,0.66,0.746592,0.654696,0.614016,0.725248,0.569169,0.595176,0.669448,0.612192,0.711
articulated_object_opening,mixed_exception_stress,heldout_exception_composition,0.086,0.74,0.859936,0.744509,0.537139,0.853824,0.612265,0.651749,0.68716,0.743904,0.747
articulated_object_opening,mixed_exception_stress,combined_exception_stress,0.086,0.86,0.933856,0.806198,0.579072,0.899744,0.668241,0.708323,0.740296,0.781536,0.801
cable_routing,rare_contact_tail,nominal_scaling,0.088,0.12,0.509312,0.453341,0.116506,0.24176,0.195915,0.290232,0.130832,0.111056,0.416
cable_routing,rare_contact_tail,contact_tail_shift,0.088,0.56,0.936192,0.799603,0.13391,0.2552,0.306009,0.401314,0.158912,0.13816,0.592
cable_routing,rare_contact_tail,embodiment_shift,0.088,0.6,0.722752,0.638986,0.213475,0.26416,0.317856,0.418853,0.167336,0.148016,0.608
cable_routing,rare_contact_tail,shortcut_shift,0.088,0.56,0.716128,0.632016,0.14137,0.32912,0.303119,0.389621,0.158912,0.18744,0.592
cable_routing,rare_contact_tail,recovery_scarcity,0.088,0.62,0.821744,0.715334,0.158774,0.2776,0.347619,0.524088,0.178568,0.155408,0.616
cable_routing,rare_contact_tail,cross_robot_morphology,0.088,0.66,0.780528,0.685872,0.218448,0.28208,0.332015,0.430546,0.212264,0.160336,0.632
cable_routing,rare_contact_tail,heldout_exception_composition,0.088,0.74,0.899024,0.779962,0.191098,0.31344,0.357155,0.47147,0.21788,0.194832,0.664
cable_routing,rare_contact_tail,combined_exception_stress,0.088,0.86,0.976304,0.844589,0.206016,0.32464,0.389807,0.512395,0.234728,0.204688,0.712
cable_routing,occluded_precondition,nominal_scaling,0.088,0.12,0.254656,0.241782,0.116506,0.336224,0.242561,0.240192,0.15096,0.181728,0.3016
cable_routing,occluded_precondition,contact_tail_shift,0.088,0.56,0.468096,0.426455,0.13391,0.36176,0.378868,0.332122,0.18336,0.22608,0.4292
cable_routing,occluded_precondition,embodiment_shift,0.088,0.6,0.361376,0.340792,0.213475,0.378784,0.393536,0.346637,0.19308,0.242208,0.4408
cable_routing,occluded_precondition,shortcut_shift,0.088,0.56,0.358064,0.337075,0.14137,0.502208,0.37529,0.322445,0.18336,0.30672,0.4292
cable_routing,occluded_precondition,recovery_scarcity,0.088,0.62,0.410872,0.381512,0.158774,0.40432,0.430385,0.433728,0.20604,0.254304,0.4466
cable_routing,occluded_precondition,cross_robot_morphology,0.088,0.66,0.390264,0.365798,0.218448,0.412832,0.411066,0.356314,0.24492,0.262368,0.4582
cable_routing,occluded_precondition,heldout_exception_composition,0.088,0.74,0.449512,0.41598,0.191098,0.472416,0.442191,0.390182,0.2514,0.318816,0.4814
cable_routing,occluded_precondition,combined_exception_stress,0.088,0.86,0.488152,0.450447,0.206016,0.493696,0.482618,0.424051,0.27084,0.334944,0.5162
